x,y,z,t,d
0.10,0.00,0.00,400,0.00
0.20,118.80,133.99,400,12.71
0.30,269.36,298.37,400,41.10
0.40,328.24,348.76,400,75.21
0.50,346.72,361.91,400,110.78
0.60,363.29,370.20,400,147.53
0.70,370.20,372.96,400,184.62
0.80,385.40,384.01,400,223.09
0.90,397.83,389.54,400,262.39
1.00,396.45,388.16,400,301.69
1.10,403.35,396.45,400,341.68
1.20,403.35,400.59,400,381.80
1.30,397.83,396.45,400,421.59
1.40,404.73,404.73,400,461.99
1.50,403.35,401.97,400,502.33
1.60,401.97,397.83,400,542.25
1.70,407.50,400.59,400,582.65
1.80,407.50,404.73,400,623.33
1.90,403.35,404.73,400,663.74
2.00,407.50,408.88,400,704.55
2.10,407.50,407.50,400,745.24
2.20,396.45,401.97,400,785.23
2.30,399.21,400.59,400,825.22
2.40,400.59,393.68,400,864.93
2.50,395.06,390.92,400,904.30
2.60,399.21,397.83,400,944.01
2.70,400.59,399.21,400,984.07
2.80,396.45,397.83,400,1023.78
2.90,400.59,404.73,400,1064.05
3.00,401.97,399.21,400,1104.11
3.10,399.21,396.45,400,1143.82
3.20,403.35,401.97,400,1184.09
3.30,396.62,399.36,400,1224.36
3.40,403.35,403.35,400,1264.62
3.50,403.35,403.35,400,1304.96
3.60,397.83,395.06,400,1344.67
3.70,397.83,400.59,400,1384.59
3.80,400.59,401.97,400,1424.72
3.90,399.21,397.83,400,1464.57
4.00,401.97,401.97,400,1504.77
4.10,403.35,401.97,400,1544.97
4.20,395.06,395.06,400,1584.47
4.30,396.45,400.59,400,1624.32
4.40,397.83,401.97,400,1664.38
4.50,397.83,396.45,400,1704.03
4.60,406.12,400.59,400,1744.43
4.70,407.50,403.35,400,1784.90
4.80,400.59,397.83,400,1824.89
4.90,400.59,401.97,400,1865.02
5.00,400.59,400.59,400,1905.15
5.10,400.59,397.83,400,1944.93
5.20,403.35,401.97,400,1985.27
5.30,406.12,403.35,400,2025.74
5.40,397.83,399.21,400,2065.53
5.50,403.35,399.21,400,2105.72
5.60,403.35,400.59,400,2145.85
5.70,399.21,397.83,400,2185.70
5.80,401.97,401.97,400,2226.04
5.90,403.35,408.88,400,2266.51
6.00,397.83,401.97,400,2306.50
6.10,403.35,400.59,400,2346.77
6.20,403.35,397.83,400,2386.89
6.30,395.06,395.07,400,2426.33
6.40,399.21,400.59,400,2466.25
6.50,396.45,400.59,400,2506.10
6.60,403.35,401.97,400,2546.37
6.70,404.73,401.97,400,2586.71
6.80,397.83,396.45,400,2626.49
6.90,401.97,401.97,400,2666.69
7.00,403.35,400.59,400,2706.88
7.10,397.83,396.45,400,2746.60
7.20,401.97,403.35,400,2786.79
7.30,401.97,401.97,400,2826.99
7.40,397.83,397.83,400,2866.77
7.50,401.97,403.35,400,2907.11
7.60,399.21,400.59,400,2947.17
7.70,395.07,396.45,400,2986.74
7.80,401.97,403.35,400,3026.94
7.90,401.97,401.97,400,3067.14
8.00,397.83,397.83,400,3106.92
8.10,403.35,403.35,400,3147.26
8.20,400.59,399.21,400,3187.25
8.30,396.45,396.45,400,3226.89
8.40,399.21,401.97,400,3267.02
8.50,403.35,403.35,400,3307.22
8.60,393.68,396.45,400,3346.72
8.70,396.45,400.59,400,3386.64
8.80,399.21,401.97,400,3426.63
8.90,395.07,397.83,400,3466.35
9.00,400.59,403.35,400,3506.54
9.10,404.73,400.59,400,3546.81
9.20,395.07,393.68,400,3586.32
9.30,401.97,400.59,400,3626.38
9.40,404.73,403.35,400,3666.78
9.50,397.83,395.07,400,3706.36
9.60,403.35,401.97,400,3746.69
9.70,399.21,397.83,400,3786.54
9.80,404.73,403.35,400,3826.88
9.90,397.83,401.97,400,3866.94
10.00,392.30,397.83,400,3906.44
10.10,400.59,401.97,400,3946.57
10.20,404.73,400.59,400,3986.84
10.30,399.21,397.83,400,4026.69
10.40,403.35,401.97,400,4066.89
10.50,401.97,400.59,400,4107.08
10.60,401.97,397.83,400,4147.07
10.70,400.59,400.59,400,4187.13
10.80,400.59,401.97,400,4227.26
10.90,397.83,399.21,400,4267.04
11.00,403.35,400.59,400,4307.24
11.10,403.35,400.59,400,4347.51
11.20,396.45,396.45,400,4387.15
11.30,401.97,401.97,400,4427.42
11.40,401.97,401.97,400,4467.55
11.50,395.06,397.83,400,4507.19
11.60,395.06,401.97,400,4547.04
11.70,396.45,401.97,400,4586.89
11.80,395.07,396.45,400,4626.40
11.90,401.97,400.59,400,4666.67
12.00,401.97,401.97,400,4706.86
12.10,400.59,396.45,400,4746.72
12.20,403.35,400.59,400,4786.91
12.30,403.35,401.97,400,4827.18
12.40,397.83,396.45,400,4866.96
12.50,403.35,401.97,400,4907.23
12.60,404.74,403.35,400,4947.56
12.70,399.20,396.45,400,4987.35
12.80,400.59,401.97,400,5027.47
12.90,397.83,396.45,400,5067.26
13.00,404.74,401.97,400,5107.52
13.10,401.97,404.74,400,5147.79
13.20,395.06,401.97,400,5187.71
13.30,396.45,401.97,400,5227.63
13.40,399.21,399.21,400,5267.62
13.50,399.21,395.06,400,5307.27
13.60,401.97,399.21,400,5347.26
13.70,403.35,400.59,400,5387.52
13.80,396.45,396.45,400,5427.17
13.90,401.97,400.59,400,5467.22
14.00,404.74,401.97,400,5507.56
14.10,396.45,395.06,400,5547.14
14.20,400.59,399.21,400,5587.20
14.30,403.35,400.59,400,5627.32
14.40,397.83,396.45,400,5667.04
14.50,400.59,400.59,400,5707.10
14.60,399.21,400.59,400,5747.09
14.70,396.45,396.45,400,5786.80
14.80,401.97,400.59,400,5826.93
14.90,401.97,401.97,400,5867.06
15.00,395.06,396.45,400,5906.77
15.10,400.59,400.59,400,5946.76
15.20,400.59,400.59,400,5986.75
15.30,395.06,399.21,400,6026.46
15.40,400.59,401.97,400,6066.66
15.50,401.97,400.59,400,6106.79
15.60,397.83,396.45,400,6146.50
15.70,401.97,401.97,400,6186.70
15.80,400.59,400.59,400,6226.76
15.90,396.45,397.83,400,6266.47
16.00,404.74,403.35,400,6306.81
16.10,396.45,396.45,400,6346.45
16.20,399.21,401.97,400,6386.58
16.30,404.73,403.35,400,6426.98
16.40,397.83,397.83,400,6466.70
16.50,403.35,401.97,400,6507.03
16.60,403.35,403.35,400,6547.37
16.70,396.45,395.06,400,6587.01
16.80,404.73,399.21,400,6627.14
16.90,399.21,401.97,400,6667.27
17.00,396.45,399.21,400,6706.98
17.10,401.97,400.59,400,6747.11
17.20,403.35,400.59,400,6787.31
17.30,397.83,395.06,400,6826.95
17.40,400.59,401.97,400,6867.08
17.50,401.97,403.35,400,6907.28
17.60,397.83,396.45,400,6947.06
17.70,401.97,401.97,400,6987.26
17.80,403.35,401.97,400,7027.52
17.90,397.83,397.83,400,7067.31
18.00,403.35,401.97,400,7107.57
18.10,404.73,399.21,400,7147.77
18.20,396.45,396.45,400,7187.41
18.30,397.83,400.59,400,7227.33
18.40,399.21,403.35,400,7267.39
18.50,396.45,392.30,400,7306.90
18.60,401.97,397.83,400,7346.82
18.70,403.35,399.21,400,7387.02
18.80,396.45,396.45,400,7426.66
18.90,403.35,400.59,400,7466.86
19.00,403.35,403.35,400,7507.20
19.10,397.83,399.21,400,7546.98
19.20,403.35,400.59,400,7587.24
19.30,396.45,397.83,400,7626.89
19.40,400.59,401.97,400,7667.09
19.50,400.59,407.50,400,7707.49
19.60,395.06,404.74,400,7747.48
